Mes_A̱o,Total_Fallecidos
2020-03,181
2020-04,5134
2020-05,16363
2020-06,17462
2020-07,18501
2020-08,17668
2020-09,8437
2020-10,4471
2020-11,3229
2020-12,3885
2021-01,11175
2021-02,18645
2021-03,20691
2021-04,23110
2021-05,16692
2021-06,7722
2021-07,3481
2021-08,1850
2021-09,1140
2021-10,1066
2021-11,1107
2021-12,1283
2022-01,3562
2022-02,3503
2022-03,1299
2022-04,741
2022-05,625
2022-06,542
2022-07,1025
2022-08,1429
2022-09,892
2022-10,429
2022-11,272
2022-12,423
2023-01,371
2023-02,287
2023-03,295
2023-04,337
2023-05,323
2023-06,291
2023-07,258
2023-08,249
2023-09,60
2023-10,26
2023-11,33
2023-12,40
2024-01,249
2024-02,62
2024-03,2
